Response_ID,I understand this is an MVP validation test. No actual printing or payment will happen unless confirmed by the team.,Which group best describes you?,What is your biggest problem when printing on campus?,How often do you usually print academic documents?,"For this MVP test, would you be willing to submit a file online if this service were live?",Dummy/sample PDF upload,How many pages would you need to print in a normal academic printing task?,MVP print setting,Which pickup slot would you choose?,Would you reserve or pay RM0.20 per black-and-white page + RM0.50 convenience fee for nearby no-queue dorm pickup?,Mock reservation action, What would stop you from using this service?,How easy was this order-flow test?,Would you use CampusPrint during assignment deadlines?,How disappointed would you be if this dormitory printing service did not exist?,Where would you prefer to collect printed documents if CampusPrint were available?,What should we improve before the next version?
R01,I understand and agree to participate.,UTM KL residence student,Walking distance from dormitory,Rarely,"Yes, I would submit a real PDF file",I have a dummy/sample PDF and would upload it if required,30,Black-and-white printing only,6:00 PM – 7:00 PM,"Maybe, if urgent or during deadline week",I would click “Reserve Slot”,File privacy concern;Pickup reliability concern;I prefer traditional print shops,3,Maybe,4,,
R02,I understand and agree to participate.,UTM KL student living nearby,Price,Rarely,"Maybe, depending on privacy and trust",I have a dummy/sample PDF and would upload it if required,2-3 pages,Black-and-white printing only,5:00 PM – 6:00 PM,"Yes, I would pay/reserve",I would click “Reserve Slot”,File privacy concern,5,Yes,3,,Add time to collect prints in the morning. 
R03,I understand and agree to participate.,UTM KL residence student,Long queue at print shop,Almost never,"Yes, I would submit a real PDF file","I do not have a dummy PDF now, but I understand the upload step",5 pages,Black-and-white printing only,5:00 PM – 6:00 PM,"Yes, I would pay/reserve",I would click “Reserve Slot”,Pickup reliability concern,5,Yes,4,,Add option to print color pages. 
R04,I understand and agree to participate.,UTM KL student not living in residence,Print shop opening hours,Almost never,"Yes, I would submit a real PDF file",I have a dummy/sample PDF and would upload it if required,1 or 2 maybe,Black-and-white printing only,7:00 PM – 8:00 PM,"Maybe, if urgent or during deadline week",I would click “Reserve Slot”,File privacy concern,5,Maybe,5,,Add color print option. 
R05,I understand and agree to participate.,UTM KL student living nearby,Long queue at print shop,Once per week,"Yes, I would submit a real PDF file",I have a dummy/sample PDF and would upload it if required,20,Black-and-white printing only,5:00 PM – 6:00 PM,"Yes, I would pay/reserve",I would click “Reserve Slot”,File privacy concern;Price concern;Pickup reliability concern,5,Yes,3,,
R06,I understand and agree to participate.,UTM KL student not living in residence,Walking distance from dormitory,Rarely,"Maybe, depending on privacy and trust",I have a dummy/sample PDF and would upload it if required,maybe about 10 pages,Black-and-white printing only,Other,"Yes, I would pay/reserve",I would click “Reserve Slot”,Price concern;Pickup reliability concern,4,Maybe,4,,more convince
R07,I understand and agree to participate.,UTM KL residence student,Walking distance from dormitory,Several times per week,"Yes, I would submit a real PDF file",I have a dummy/sample PDF and would upload it if required,10,Black-and-white printing only,5:00 PM – 6:00 PM,"Yes, I would pay/reserve",I would click “Reserve Slot”,File privacy concern,1,Yes,1,,
R08,I understand and agree to participate.,UTM KL student living nearby,Price,Rarely,"Yes, I would submit a real PDF file",I have a dummy/sample PDF and would upload it if required,Over10,Black-and-white printing only,6:00 PM – 7:00 PM,"Yes, I would pay/reserve",I would only continue if payment is not required,Other,4,Yes,2,Near classroom / lecture area,
R09,I understand and agree to participate.,UTM KL student not living in residence,Walking distance from dormitory,Rarely,"Maybe, depending on privacy and trust","I do not have a dummy PDF now, but I understand the upload step",about 10,Black-and-white printing only,Other,"Maybe, if urgent or during deadline week",I would click “Reserve Slot”,Price concern;Pickup reliability concern,4,Maybe,4,Near classroom / lecture area,more convince to collect printed files
R10,I understand and agree to participate.,UTM KL student not living in residence,Walking distance from dormitory,Several times per month,"Yes, I would submit a real PDF file",I have a dummy/sample PDF and would upload it if required,30,Black-and-white printing only,7:00 PM – 8:00 PM,"Yes, I would pay/reserve",I would click “Reserve Slot”,File privacy concern;Price concern;Pickup reliability concern,3,Yes,5,Near classroom / lecture area,not very high price
R11,I understand and agree to participate.,UTM KL residence student,Long queue at print shop,Several times per week,"Yes, I would submit a real PDF file",I have a dummy/sample PDF and would upload it if required,10,Black-and-white printing only,5:00 PM – 6:00 PM,"Yes, I would pay/reserve",I would click “Reserve Slot”,File privacy concern;Price concern,3,Yes,3,Near classroom / lecture area,
R12,I understand and agree to participate.,UTM KL student living nearby,Walking distance from dormitory,Once per week,"Yes, I would submit a real PDF file","I do not have a dummy PDF now, but I understand the upload step",many page,Black-and-white printing only,6:00 PM – 7:00 PM,"Yes, I would pay/reserve",I would click “Reserve Slot”,Pickup reliability concern;File upload difficulty,3,Yes,5,Near classroom / lecture area,
