Metric,Target,Actual Result,Validation Status
Completed responses,>=5,12,Achieved
Residence / nearby sample,>=60%,8/12 = 66.7%,Achieved
Online file submission willingness,>=60%,9/12 Yes = 75.0%; 12/12 Yes/Maybe = 100.0%,Validated
Payment or reservation intent,>=60%,9/12 Yes = 75.0%; 12/12 Yes/Maybe = 100.0%,Validated
Mock reservation click intent,>=60%,11/12 = 91.7%,Validated
Deadline usage intention,>=70%,8/12 Yes = 66.7%; 12/12 Yes/Maybe = 100.0%,Validated
Ease of use score,>=4.0/5 average,3.75/5,Partially validated
Disappointment score 4-5,>=80%,7/12 = 58.3%,Not fully validated
Top pain point,Inform product focus,Walking distance from dormitory (6/12),Supports nearby pickup
Top pickup slot,Inform pickup window,5:00 PM – 6:00 PM (5/12),Use as pilot pickup window
